V,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,7,31,2,25,12,31,4,7,27,30,11,14,22,3,21,17,25,4,27,24,10
2,29,18,7,23,39,26,20,27,20,27,21,23,19,19,2,36,2,8,19,18,28
3,15,18,6,26,19,26,21,18,5,10,6,5,25,15,21,12,26,27,27,22,20
4,43,15,11,15,21,15,22,34,10,44,0,36,9,28,44,27,15,31,21,22,36
5,6,32,28,9,1,26,31,19,42,7,32,44,12,7,2,39,8,1,14,46,25
6,40,29,11,48,29,5,26,26,24,28,16,14,11,6,11,37,47,24,24,20,39
7,2,21,20,39,18,10,18,17,60,64,40,7,65,11,63,48,47,44,5,45,16
8,41,34,7,18,12,11,6,38,36,8,11,10,26,3,9,31,5,14,38,18,6
9,25,31,44,56,0,39,54,13,6,22,5,19,48,48,37,1,26,21,60,20,37
10,41,22,19,30,3,42,20,36,43,3,31,29,7,0,23,1,34,21,20,4,25
11,13,22,24,34,2,29,11,6,15,32,6,29,2,32,1,3,21,11,30,4,13
12,38,29,41,1,1,37,9,5,13,19,24,31,27,32,38,39,6,28,0,37,34
13,19,35,0,14,22,25,14,16,2,6,1,26,32,31,0,15,9,31,19,34,22
14,16,27,3,26,18,38,8,29,10,16,8,37,35,20,35,9,39,25,7,38,37
