V,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1,25,13,6,32,4,14,9,10,19,21,6,30,2,39,23,34,20,28,24,39
2,18,36,25,15,20,4,7,30,18,29,19,17,8,23,37,30,25,10,6,35,8
3,20,10,19,10,9,19,14,15,3,25,9,25,21,0,19,11,3,27,17,17,10
4,23,1,14,25,17,15,13,2,22,18,18,21,11,20,15,1,19,19,11,2,0
5,29,26,5,18,29,8,18,27,25,16,0,21,12,5,6,22,5,26,26,4,26
6,25,23,7,5,25,2,17,6,16,17,33,5,20,30,5,11,12,35,3,8,20
7,40,0,35,2,15,3,8,26,2,1,22,26,23,18,25,6,14,33,35,34,4
8,35,34,34,15,14,2,28,49,5,37,13,0,25,32,5,3,39,6,3,40,36
9,8,14,16,21,24,13,14,13,24,25,13,23,26,6,15,25,18,26,15,14,18
10,24,4,24,15,26,22,17,2,23,12,17,13,28,26,21,12,14,21,19,22,24
11,26,4,5,24,2,13,9,20,23,15,1,15,26,10,22,2,17,20,25,18,17
12,30,9,33,5,28,29,29,18,18,5,6,21,20,17,20,19,21,21,31,5,32
13,14,14,15,1,9,26,24,15,8,13,27,6,14,8,25,22,27,13,25,27,2
14,19,0,22,30,12,13,13,4,27,21,21,12,5,7,16,30,24,15,7,23,11
