,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,26,4,36,10,70,38,50,53,18,76,64,49,77,16,14,28,7,23,29,37,49
2,18,51,23,132,14,18,81,23,105,56,54,111,21,66,53,6,13,6,88,58,72
3,29,19,11,13,30,20,44,12,37,42,41,38,38,16,37,38,43,30,29,21,8
4,79,34,29,76,21,74,53,12,28,6,6,18,33,76,48,71,60,84,3,76,13
5,16,12,1,69,7,47,79,36,23,64,49,30,5,5,48,18,58,51,37,15,26
6,60,8,4,38,60,43,36,14,59,56,12,44,32,31,2,63,5,22,6,12,60
7,35,42,14,115,110,125,58,10,87,48,25,50,84,59,54,33,56,3,35,59,38
8,38,23,22,38,18,57,48,56,40,8,33,5,14,11,45,3,17,45,38,46,50
9,18,36,54,17,6,5,55,53,29,33,9,25,2,7,48,38,34,7,9,36,40
10,73,45,36,81,70,46,13,80,52,44,80,59,62,57,59,66,7,7,74,65,50
11,5,75,22,10,5,68,42,79,28,44,19,76,59,49,27,74,18,27,41,62,58
12,40,48,70,92,52,11,74,62,15,7,48,17,57,7,84,61,96,71,37,95,73
13,28,5,28,14,27,44,12,42,19,40,42,43,34,19,39,36,33,27,35,30,5
14,61,51,11,14,52,7,0,59,46,46,4,47,8,60,33,55,9,16,35,61,9
