V,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,3,2,12,14,2,6,13,22,2,4,7,11,33,17
2,4,8,23,14,20,8,24,21,9,23,0,18,14,17
3,1,8,16,12,4,18,11,18,9,14,1,0,4,7
4,22,29,16,9,3,11,13,1,13,14,7,16,10,2
5,5,0,11,2,21,19,12,2,7,27,10,35,2,3
6,17,16,33,6,21,10,23,11,20,4,5,7,1,0
7,15,9,13,2,1,46,1,18,16,14,3,6,19,2
8,21,10,4,17,20,10,19,3,4,10,8,9,9,22
9,0,4,17,1,16,15,6,24,40,24,14,32,1,6
10,8,24,6,2,7,16,24,15,8,4,5,44,27,8
11,0,3,0,21,19,30,4,2,5,16,20,8,13,13
12,16,29,13,22,18,4,2,22,3,6,20,0,13,17
13,24,6,9,7,2,3,10,10,6,11,31,12,6,2
14,6,16,15,14,10,22,10,27,18,24,6,6,5,11
