V,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0,9,3,17,16,11,40,26,2,3,11,0,21,10
2,23,8,3,33,19,12,2,0,16,14,17,1,28,1
3,16,25,5,4,13,14,7,0,10,16,2,1,4,10
4,4,8,7,19,1,5,6,15,16,13,1,10,7,9
5,19,18,1,1,1,21,25,16,3,16,3,7,2,15
6,14,8,17,15,1,1,7,2,30,3,17,10,0,12
7,0,9,4,19,12,13,15,10,3,11,29,14,14,3
8,5,16,8,15,11,6,5,30,10,25,1,23,22,16
9,2,23,23,5,4,19,3,21,2,6,11,11,9,18
10,14,2,13,1,12,10,22,24,5,8,24,6,7,14
11,6,0,6,24,9,2,24,16,13,3,2,14,16,0
12,3,26,20,24,28,19,6,2,33,4,5,2,5,0
13,4,13,17,10,9,11,18,9,2,11,10,23,5,0
14,0,5,9,1,11,8,23,23,14,6,3,21,12,3
