V,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,350
2,50,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50
3,50,120,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50
4,50,30,50,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50
5,120,120,120,120,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50
6,50,50,350,350,350,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50
7,50,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50
8,50,50,50,50,50,50,350,0,0,0,0,0,0,0,0,0,0,50,50,50,50
9,50,50,220,220,220,220,220,220,0,0,0,0,0,0,0,0,0,0,50,50,50
10,50,50,50,220,220,220,220,220,120,0,0,0,0,0,0,0,0,0,0,50,50
11,50,50,50,50,50,180,220,220,220,220,0,0,0,0,0,0,0,0,0,0,50
12,50,50,50,50,50,50,50,50,220,220,220,0,0,0,0,0,0,0,0,0,0
13,50,50,50,50,50,50,50,50,50,120,120,120,0,0,0,0,0,0,0,0,0
14,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0
15,50,50,50,50,50,50,50,50,50,50,220,220,220,220,0,0,0,0,0,0,0
16,50,50,50,50,50,50,50,50,50,50,50,120,120,120,120,0,0,0,0,0,0
17,50,50,50,50,50,50,50,50,50,50,50,120,120,120,120,120,0,0,0,0,0
18,0,0,0,0,50,50,50,50,50,50,50,50,50,50,180,180,180,0,0,0,0
19,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,220,220,220,0,0,0
20,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,120,120,120,0,0
