,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,18,8,42,19,30,35,0,15,19,11,11,4,13,39,31,24,25,3,2,26
2,30,1,10,7,18,5,4,29,6,13,16,16,29,17,11,17,35,25,10,1
3,0,27,4,16,40,22,13,9,5,1,19,32,20,4,4,18,6,12,22,12
4,8,32,27,23,31,17,1,41,22,6,19,28,19,18,12,2,15,37,26,11
5,10,0,17,23,2,2,20,3,12,7,5,6,21,9,25,5,16,8,3,22
6,5,43,18,23,10,27,0,29,26,22,4,21,13,30,7,3,28,13,44,4
7,12,4,3,11,14,14,39,1,14,2,0,16,10,24,0,6,18,23,3,3
8,20,32,28,0,25,1,9,29,16,33,44,17,4,5,2,38,4,10,15,50
9,30,19,6,6,4,13,3,33,31,14,7,3,6,8,6,28,16,16,27,15
10,5,3,31,41,2,28,8,5,16,13,9,23,3,1,5,24,3,5,4,1
11,32,9,1,6,17,35,31,17,4,32,4,6,26,29,12,31,9,14,33,12
12,16,3,8,6,3,12,7,31,16,20,6,19,1,12,35,13,2,17,8,31
13,17,2,1,11,14,18,20,10,2,10,24,4,3,1,13,7,5,17,8,2
14,30,16,8,13,17,14,24,58,13,4,16,29,23,7,44,36,12,24,5,0
15,0,7,19,5,25,4,13,9,7,6,16,11,5,10,23,5,9,8,7,16
16,7,20,16,19,6,3,11,8,18,2,8,14,3,17,2,4,6,6,0,25
17,2,0,5,4,9,11,0,27,20,22,10,28,3,17,0,37,15,20,6,2
18,1,59,13,3,11,18,0,39,9,27,39,14,7,33,3,4,31,7,9,7
19,39,10,21,42,3,44,27,36,16,3,4,7,5,1,26,27,4,29,3,13
20,10,22,19,36,12,32,25,6,0,6,4,3,12,12,4,4,10,10,30,8
