V,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0,49,49,49,49,49,49,0,0,0,49,49,49,49,49,49,49,49,49,49,49
2,49,0,49,49,49,49,49,49,46,46,46,49,49,49,49,49,49,49,49,49,49
3,49,49,0,49,49,49,49,49,49,46,49,49,49,49,49,49,49,49,49,49,49
4,49,49,49,0,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
5,59,59,59,59,0,59,59,59,59,59,59,59,59,59,59,59,49,49,49,49,49
6,49,49,49,49,49,0,49,49,49,49,49,149,49,49,49,49,49,49,49,49,49
7,49,49,49,49,49,49,0,49,49,49,49,49,49,49,49,49,49,49,49,49,49
8,49,49,49,49,49,49,49,0,49,49,49,49,49,49,49,49,49,49,49,49,49
9,49,49,49,49,49,49,49,49,0,0,0,0,49,49,49,49,49,49,49,49,49
10,49,49,49,49,49,49,49,49,49,0,0,49,49,49,49,49,49,49,49,49,49
11,49,49,49,49,49,49,49,49,49,49,0,0,49,49,49,49,49,49,49,49,49
12,49,49,49,49,49,49,149,49,49,49,49,0,0,49,49,49,49,49,49,49,49
13,49,49,49,49,49,49,49,49,49,49,49,49,0,0,49,49,49,49,49,49,49
14,49,49,49,49,49,49,149,49,49,49,49,49,49,0,49,49,49,49,49,49,49
15,49,49,49,49,49,49,49,49,49,49,49,49,49,0,0,49,49,49,49,49,49
16,49,49,49,49,49,49,49,49,149,49,49,49,49,49,0,0,0,49,49,49,49
17,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,0,49,49,49,49
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,0,49,49,49
19,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,0,49,49
20,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,0,49
