,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,2,0,0,6,7,1,0,15,9,12,12,6,4,1,6,14,18,16,11
2,1,4,22,2,1,17,26,4,24,14,4,2,14,24,22,16,8,8,4,6
3,24,8,0,3,0,0,21,2,15,12,8,8,34,27,9,18,9,21,0,17
4,7,23,7,7,5,7,8,4,14,8,12,7,6,9,15,7,3,3,1,5
5,2,8,8,0,1,9,8,9,7,2,9,10,7,2,2,4,11,6,1,17
6,22,1,5,11,12,6,0,6,1,10,2,6,13,10,15,13,10,2,6,0
7,0,13,9,2,0,5,14,5,6,5,2,8,6,4,2,7,15,0,14,19
8,7,5,6,1,34,18,8,7,3,8,29,23,14,16,11,23,11,0,7,2
9,7,8,21,5,5,14,5,12,19,10,17,43,1,12,10,10,8,0,6,4
10,2,7,15,6,8,0,8,14,2,11,5,3,6,6,2,0,6,13,10,1
11,9,9,7,22,13,10,12,9,4,3,7,16,4,0,13,3,6,8,5,0
12,10,13,11,9,5,8,2,4,11,4,7,2,10,5,17,4,7,4,4,4
13,1,5,3,19,14,5,9,8,6,8,2,11,6,10,10,1,11,8,0,2
14,4,0,5,7,5,16,4,4,5,7,6,11,3,3,1,13,17,17,1,7
15,1,12,5,1,17,13,2,7,2,3,8,14,7,1,3,10,8,12,11,10
16,19,18,3,2,6,3,0,3,4,5,2,5,10,8,2,4,0,7,4,6
17,14,10,5,14,2,4,5,9,2,4,13,11,8,8,0,5,16,5,3,30
18,21,1,35,7,9,1,13,16,2,35,1,7,19,0,26,5,2,0,1,9
19,0,5,21,4,4,22,20,0,22,5,10,1,13,6,1,8,9,16,10,5
20,7,3,10,7,15,7,8,5,6,17,7,5,13,4,13,0,4,4,1,13
