,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,20,12,66,1,58,39,11,12,12,62,21,36,39,0,11,12,16,57,57,7,19
2,7,39,40,37,21,18,38,23,11,11,8,6,30,18,23,1,24,9,18,31,36
3,31,17,33,6,22,4,22,6,9,14,32,32,24,33,5,39,34,10,31,8,23
4,9,48,47,2,10,18,51,30,14,33,53,32,28,49,27,42,6,3,48,0,45
5,8,6,11,14,23,24,28,15,13,31,22,1,3,12,6,17,19,30,7,35,5
6,36,10,1,33,26,37,14,2,14,42,60,24,35,25,54,61,27,14,11,21,12
7,8,16,5,27,24,20,25,22,13,21,17,16,6,11,12,8,7,17,10,26,16
8,24,15,40,7,7,30,14,66,59,29,16,9,49,37,52,10,3,11,59,16,21
9,2,39,25,38,15,35,13,10,4,6,0,39,23,26,26,0,26,11,38,35,33
10,28,9,12,8,6,22,34,6,15,7,0,16,0,38,10,14,0,35,39,36,13
11,4,5,2,27,26,24,51,17,33,37,28,26,39,4,7,40,16,42,47,46,26
12,24,3,16,1,9,16,8,12,37,25,36,7,29,9,27,35,0,18,39,35,17
13,21,20,23,9,8,11,13,26,14,20,23,17,6,3,3,5,19,18,10,15,7
14,12,40,39,21,31,52,45,32,66,60,7,63,1,12,30,16,15,4,19,13,13
15,24,2,2,12,11,23,7,11,13,26,4,25,21,6,2,20,20,21,21,24,18
16,13,2,11,10,16,3,24,7,0,6,24,5,15,23,29,22,21,22,14,16,13
17,28,6,25,15,14,16,24,17,12,36,3,9,20,27,33,2,37,9,4,0,23
18,39,32,12,44,6,27,9,12,43,25,19,43,27,1,13,14,18,34,5,42,41
19,51,20,32,48,19,13,15,31,42,36,22,6,9,43,10,56,7,7,48,12,17
20,41,35,23,10,21,11,11,20,20,1,15,33,7,13,19,4,10,18,33,45,14
