,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,26,94,9,100,75,24,4,67,89,56,36,15,91,39,102,39,46,22,20,6,69
2,25,57,16,28,72,43,89,63,20,67,40,15,20,87,90,4,65,46,3,56,101
3,50,45,42,22,16,50,41,31,41,56,6,27,47,34,16,33,51,45,0,12,50
4,2,30,46,23,36,13,20,48,43,61,16,20,55,45,14,14,13,61,38,39,59
5,4,42,28,38,45,26,52,22,54,56,38,51,63,8,29,29,27,62,14,23,31
6,22,41,24,28,41,24,29,26,30,30,7,4,25,33,6,26,40,40,11,26,12
7,43,49,44,25,9,15,27,1,15,32,30,14,11,29,46,8,7,9,42,15,31
8,65,44,3,9,2,49,72,28,38,28,48,2,26,16,33,27,9,51,41,30,69
9,10,40,45,6,34,49,25,53,46,14,42,53,28,3,34,20,41,11,15,34,26
10,28,38,43,10,56,24,46,54,27,38,62,14,13,15,61,66,5,39,16,7,45
11,18,29,89,89,30,34,77,12,89,18,89,91,33,26,3,28,25,13,72,37,80
12,44,13,26,71,79,53,32,1,43,11,55,15,86,77,88,36,14,40,34,73,64
13,31,12,7,3,63,33,75,46,45,17,23,32,19,48,55,17,29,30,27,56,40
14,54,31,40,60,72,76,22,44,50,47,9,40,4,41,29,53,35,65,70,46,11
15,2,19,75,3,96,12,22,54,35,7,26,32,28,60,8,37,75,41,46,78,11
16,21,61,67,16,44,54,57,37,73,66,43,71,59,56,48,56,0,64,28,43,36
17,68,77,77,55,43,75,0,13,52,34,45,14,62,20,16,3,3,37,38,64,76
18,57,51,20,65,41,15,65,15,64,64,26,5,14,66,51,0,67,64,42,41,42
19,53,49,23,15,7,63,61,14,44,32,22,3,41,20,10,49,25,64,11,26,64
20,67,71,37,61,31,22,47,31,38,68,29,24,22,77,13,78,12,81,72,12,5
