,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,37,35,6,45,2,46,30,42,12,3,54,51,40,14,17,15,46,48,40,38,10
2,43,50,24,56,7,50,48,18,26,1,58,45,41,18,59,43,6,20,1,13,0
3,20,37,3,36,12,35,40,14,21,18,46,13,40,46,0,42,46,3,24,17,26
4,28,36,54,33,29,53,28,20,16,49,53,29,24,26,34,28,1,17,39,5,56
5,39,37,45,19,38,29,7,48,34,47,32,25,36,2,19,22,0,3,9,25,38
6,9,23,18,7,40,31,4,6,40,28,35,19,38,21,1,22,21,34,39,25,31
7,0,20,27,2,16,32,17,34,0,18,17,29,12,27,2,32,16,25,25,5,27
8,32,24,0,34,27,45,19,30,31,9,46,46,34,29,26,3,28,46,25,22,0
9,74,34,61,56,7,53,34,63,43,2,26,1,51,70,19,15,59,4,11,4,57
10,22,19,17,36,18,28,44,5,19,22,40,0,45,44,12,21,26,32,7,25,26
11,18,11,22,4,5,22,20,16,28,19,23,23,5,17,16,11,19,22,23,26,27
12,59,14,4,56,40,19,6,75,16,1,4,12,73,46,4,60,13,72,61,33,65
13,42,27,11,23,14,31,4,24,43,15,2,20,36,9,40,20,25,15,2,39,25
14,49,2,39,38,41,39,8,55,31,18,31,16,13,53,47,34,55,35,13,55,51
15,9,15,10,28,8,41,40,32,28,11,17,39,5,0,30,2,8,23,13,4,11
16,16,29,25,39,36,42,6,2,19,5,19,43,25,42,28,31,11,21,39,13,38
17,56,3,19,12,53,57,11,40,37,27,2,37,9,46,38,57,59,52,37,22,33
18,46,22,8,39,24,30,47,47,39,23,27,42,38,15,5,49,51,3,23,17,26
19,20,6,31,40,6,23,8,23,10,33,38,16,39,20,22,19,26,33,21,40,3
20,34,34,17,18,10,42,49,45,9,20,23,29,23,37,4,43,44,19,17,2,38
21,70,26,44,57,35,15,3,12,24,45,45,45,4,14,9,41,6,26,46,54,11
22,28,30,17,7,21,5,11,25,1,17,18,44,27,33,39,11,38,22,8,12,6
23,16,62,17,13,42,12,35,60,68,48,20,11,3,68,39,3,58,13,72,12,1
24,19,1,20,24,43,55,9,26,36,11,41,42,18,31,36,30,14,31,56,37,49
25,3,25,35,7,14,8,14,45,35,32,37,3,31,35,18,19,32,14,22,46,29
26,16,26,18,11,8,21,13,28,20,8,23,10,13,40,32,23,30,5,15,16,24
27,19,61,4,32,53,50,2,31,7,4,63,3,53,12,30,30,69,51,3,50,16
28,5,24,44,25,49,55,1,44,20,39,51,55,55,50,32,3,1,0,2,47,43
29,10,53,30,1,25,13,40,40,8,10,25,14,20,25,46,67,32,70,69,32,31
30,22,21,33,26,9,37,6,19,17,40,39,27,17,37,47,2,39,1,11,25,12
