,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1,4,4,7,64,9,9,57,16,64,10,16,61,1,5,30,15,11,0,12,17
2,9,14,16,30,7,6,4,10,1,12,0,15,10,30,15,9,16,0,61,8,15
3,12,12,16,61,7,69,7,69,60,69,16,57,16,12,6,8,0,0,7,8,2
4,12,1,8,16,16,17,5,15,11,0,4,57,12,10,30,12,30,12,14,15,7
5,5,8,4,19,1,19,15,7,0,11,1,14,19,6,8,10,69,69,8,17,5
6,10,4,5,9,4,7,7,57,5,6,4,8,4,9,6,0,9,10,5,7,8
7,4,9,7,5,14,16,40,9,4,9,16,7,9,57,17,0,57,57,17,1,6
8,0,0,7,8,62,62,19,1,4,40,9,6,5,0,2,57,5,16,1,10,15
9,5,1,1,0,0,10,7,30,0,30,13,30,0,2,9,5,7,7,30,12,11
10,7,7,5,1,5,5,12,9,8,0,11,8,1,1,0,7,0,10,0,7,5
11,9,57,11,6,12,7,8,9,57,10,0,4,4,57,8,10,9,12,7,8,3
12,8,11,8,0,6,12,6,9,8,0,11,10,9,10,5,6,12,10,11,9,12
13,8,7,7,5,1,0,12,5,10,11,8,11,0,9,8,6,1,57,11,11,2
14,7,16,15,0,1,0,19,5,30,19,30,12,69,0,6,7,16,8,30,19,12
15,6,15,0,9,30,9,15,0,8,15,1,4,16,7,40,4,9,11,12,8,10
16,7,5,4,17,10,15,60,5,40,4,1,4,6,30,6,16,7,17,0,19,14
17,4,8,4,30,0,57,8,0,12,9,8,4,7,57,12,0,30,57,7,6,3
18,30,7,10,12,10,10,7,10,4,4,12,4,12,7,6,12,6,57,6,7,7
19,12,9,69,0,8,17,6,69,11,9,17,4,0,4,40,30,8,0,30,4,17
20,5,5,40,0,19,6,61,17,19,6,19,9,6,61,40,57,40,8,57,60,0
21,5,11,6,1,8,10,6,5,7,0,5,8,7,9,6,9,11,0,9,4,10
22,4,0,4,8,10,9,6,30,40,4,6,0,7,4,8,1,12,30,5,10,0
23,14,16,0,15,5,14,19,57,61,10,0,69,5,14,17,62,57,57,19,9,0
24,0,11,9,9,6,5,7,9,0,12,10,12,12,7,7,30,5,6,4,8,3
25,1,6,6,6,5,11,0,0,10,12,10,0,2,4,0,5,6,9,7,11,5
26,57,1,4,10,0,30,6,0,11,10,0,0,5,10,8,5,0,4,10,9,8
27,10,15,0,16,5,14,11,0,1,7,5,57,6,8,15,17,0,57,5,5,7
28,12,12,14,14,15,40,4,69,5,0,12,11,9,8,17,8,8,5,16,4,1
29,69,0,5,6,12,19,16,57,12,17,14,17,4,10,69,0,2,8,60,16,20
30,12,30,10,7,1,5,1,7,12,11,7,10,4,8,9,11,11,9,12,1,12
