,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,4,1,4,40,15,27,33,46,34,36,5,6,22,24,20,44,16,22,1,36,20
2,57,41,24,12,53,39,13,18,29,7,49,56,46,33,10,54,34,37,8,14,9
3,67,20,0,48,63,31,62,14,36,62,15,34,3,4,28,60,62,14,40,50,4
4,31,16,14,47,56,23,53,58,21,48,20,0,9,0,15,12,20,16,42,58,5
5,9,44,31,43,41,25,35,14,21,0,52,10,43,42,31,9,0,22,44,35,22
6,39,7,18,48,15,53,14,33,10,55,51,21,12,66,64,15,44,1,30,41,62
7,17,72,68,35,38,36,64,14,53,60,14,68,69,16,58,0,57,8,3,37,53
8,40,28,43,16,36,19,15,39,19,42,35,10,5,30,10,4,8,38,34,28,35
9,39,22,18,51,46,14,34,12,45,23,30,1,19,57,45,11,32,0,5,26,3
10,46,16,65,65,30,29,59,49,28,21,42,72,14,74,63,38,46,1,35,61,1
11,49,36,19,48,11,41,7,20,40,11,37,11,43,52,10,6,6,2,10,44,49
12,27,19,24,12,27,31,31,19,24,11,29,6,11,23,30,11,28,21,19,4,5
13,31,28,8,24,33,28,18,3,28,1,12,35,32,5,8,18,26,10,21,31,22
14,11,51,9,12,26,26,19,20,49,65,25,13,11,40,39,26,2,16,64,36,66
15,30,52,35,34,4,32,1,54,8,26,4,46,0,7,16,42,30,4,5,33,22
16,2,33,52,28,16,40,22,59,11,73,62,55,33,59,31,24,51,35,39,60,25
17,17,76,31,30,49,31,53,25,23,39,25,53,34,48,65,45,31,44,10,19,19
18,40,13,5,15,23,15,31,15,31,24,57,8,43,15,10,61,43,29,17,40,53
19,38,22,1,43,15,31,41,14,26,14,33,37,35,39,22,44,9,46,15,2,18
20,26,33,17,42,25,16,1,12,31,17,24,23,40,27,14,18,8,14,28,8,42
21,41,41,40,29,51,51,6,24,33,12,40,26,25,44,10,40,35,36,25,1,42
22,47,61,62,57,18,21,9,46,19,25,58,24,43,60,9,22,50,59,11,29,33
23,2,6,10,20,25,42,1,9,20,2,48,25,0,9,42,26,53,3,17,40,34
24,46,54,20,11,31,41,38,14,5,54,21,47,40,5,51,49,38,44,44,17,57
25,33,13,57,7,6,14,64,51,30,52,20,19,20,22,62,36,67,16,24,61,9
26,34,0,26,33,29,30,21,3,22,24,41,6,3,19,12,40,4,19,40,0,24
27,30,42,33,8,3,2,26,37,31,52,51,18,2,42,16,37,46,20,13,36,8
28,13,20,5,86,7,75,59,34,48,20,21,70,12,63,50,3,59,71,68,5,32
29,52,8,19,52,54,51,31,19,31,48,5,27,39,10,48,33,49,22,26,8,49
30,32,3,25,20,3,49,24,23,32,51,20,9,49,55,39,24,33,47,1,27,6
