,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,5,1,10,57,8,15,2,9,1,15,5,21,6,3,17,13,17,19,8,15,7,7,16,6,57,15,57,7,18,1
2,0,18,24,6,9,2,5,27,13,2,5,2,27,11,26,13,19,20,4,24,0,6,25,25,5,10,6,12,1,3
3,0,18,11,47,3,9,8,6,17,26,3,1,5,1,16,12,16,13,2,17,57,1,57,33,0,2,7,4,8,20
4,3,8,23,20,10,6,0,19,17,2,19,10,0,25,3,15,18,14,5,13,6,0,10,3,9,19,23,14,13,25
5,27,8,11,0,5,23,13,5,9,22,6,0,8,19,3,57,19,19,25,5,24,23,6,7,6,0,7,5,11,8
6,13,0,3,12,11,0,3,2,2,6,13,7,19,20,6,4,9,6,3,0,12,3,12,16,2,15,3,11,2,3
7,3,2,21,17,1,1,6,16,14,17,1,3,13,8,4,10,57,13,11,11,13,3,1,0,9,3,14,17,8,9
8,7,14,3,2,3,16,15,3,7,1,14,11,11,6,2,5,15,20,26,18,5,11,1,7,6,18,0,10,13,13
9,10,2,16,13,8,0,17,6,25,13,6,4,1,16,5,0,2,19,13,8,0,10,1,0,14,13,3,5,1,9
10,1,8,7,1,2,2,5,3,14,7,16,1,0,17,5,12,0,6,1,16,13,0,9,5,7,4,16,3,2,4
11,11,2,5,27,9,11,7,3,1,0,13,0,18,7,2,10,10,6,12,10,1,11,12,16,5,10,9,1,6,7
12,15,1,5,12,4,10,0,5,25,1,18,10,16,8,4,3,12,13,6,3,18,7,3,4,16,16,4,16,57,1
13,2,0,4,0,7,4,2,15,19,6,8,10,25,2,0,6,18,16,2,8,7,5,12,4,5,2,8,21,0,4
14,21,3,0,13,26,5,15,20,16,3,4,10,17,11,27,6,16,12,12,0,8,25,8,13,3,20,17,10,5,12
15,13,5,13,18,2,12,9,7,20,16,5,12,16,5,6,9,11,10,9,17,10,8,8,5,17,3,5,2,17,19
16,5,2,8,22,2,21,24,17,12,26,6,5,17,25,8,2,7,6,15,3,4,11,1,16,6,11,19,25,4,8
17,4,4,1,16,5,5,0,15,12,7,2,2,12,4,6,7,8,6,10,12,11,10,9,6,3,10,1,7,8,7
18,0,7,5,2,19,4,0,12,1,9,27,10,14,9,17,5,10,7,21,3,1,13,6,9,14,16,12,19,3,2
19,14,15,14,7,57,0,1,5,4,0,8,0,9,10,10,10,13,17,3,1,13,19,40,7,23,4,10,19,8,27
20,25,11,21,5,6,0,13,24,24,57,7,0,13,5,0,19,37,24,7,1,13,9,1,22,57,4,11,2,4,1
21,0,13,5,6,7,8,1,3,0,9,5,5,1,0,10,7,1,4,16,9,18,15,3,9,1,17,18,19,11,1
22,19,17,2,0,8,0,0,10,14,14,17,0,3,0,0,2,1,1,7,7,4,6,11,7,9,4,18,22,7,18
23,0,11,5,12,29,13,8,27,7,57,14,6,7,3,12,14,4,12,16,23,4,11,16,8,5,26,17,24,7,2
24,9,12,21,4,3,10,5,1,12,6,9,3,15,11,3,10,0,14,0,10,3,4,17,16,25,11,4,3,11,8
25,0,7,10,4,0,0,0,13,0,3,13,6,11,0,7,11,5,1,10,7,15,6,18,3,9,7,13,1,7,6
26,2,8,5,4,20,4,1,8,3,10,2,2,5,0,12,1,9,17,6,11,8,2,1,4,14,16,3,4,15,3
27,14,19,14,11,14,18,2,8,6,3,6,7,0,8,5,6,7,13,15,4,19,6,4,11,10,1,6,6,14,3
28,4,16,18,17,4,2,8,29,10,6,5,25,10,17,6,2,10,13,0,12,3,21,23,3,11,13,12,16,8,15
29,2,18,17,4,17,5,13,2,1,0,13,9,29,5,25,57,8,11,1,11,1,17,1,5,25,7,21,57,35,29
30,8,10,10,2,9,3,13,15,35,2,0,6,3,11,18,15,20,15,3,0,5,6,4,7,10,2,21,15,7,7
