,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,28,26,13,0,23,11,8,31,21,29,30,27,27,0,30,24,0,9,14,8,21
2,25,0,7,10,29,0,16,0,23,18,11,0,0,15,22,18,15,21,25,13,4
3,15,12,22,7,27,0,8,11,15,10,21,0,7,19,29,12,10,28,26,0,11
4,11,26,27,0,0,11,18,0,22,21,16,11,15,13,15,18,20,0,0,13,15
5,0,0,12,19,8,13,8,0,7,0,17,0,10,0,19,6,7,16,19,15,22
6,19,12,0,22,12,26,22,0,11,1,22,0,6,12,0,13,0,14,11,17,9
7,18,0,18,18,18,0,28,0,27,0,26,18,10,27,17,16,7,24,13,0,5
8,17,17,0,11,11,15,0,0,12,14,12,8,10,10,8,10,16,10,10,15,6
9,23,0,28,28,11,22,19,0,13,0,12,0,19,0,18,0,8,28,7,0,25
10,22,11,21,0,17,23,13,8,14,15,11,12,17,0,22,15,15,22,17,15,5
11,18,0,9,0,18,18,7,12,16,0,15,0,13,8,13,0,18,17,0,18,15
12,0,15,0,14,7,8,17,11,17,7,0,10,12,0,7,0,11,19,17,17,9
13,7,16,0,19,19,21,16,10,21,10,0,16,7,0,19,0,0,10,18,0,21
14,18,7,20,18,10,16,18,7,11,20,18,0,0,15,0,19,19,18,10,20,3
15,0,0,15,7,0,14,0,9,10,8,10,11,11,8,10,13,0,10,7,11,13
16,0,27,27,1,24,0,10,25,0,1,24,7,25,0,14,22,26,11,0,0,5
17,18,0,0,10,12,3,0,18,18,36,23,7,18,0,18,18,0,18,0,14,2
18,11,10,0,23,16,0,15,0,14,10,10,20,0,10,20,17,10,0,13,0,6
19,0,25,17,17,7,10,0,18,13,13,25,0,7,0,21,0,13,25,18,12,22
20,15,27,12,23,7,0,14,24,16,23,25,0,15,18,12,11,0,20,0,15,25
21,0,17,8,27,0,20,22,19,27,12,12,18,21,13,25,27,0,22,19,10,26
22,20,17,0,13,16,0,0,0,20,18,19,7,14,17,0,20,0,0,8,11,18
23,28,35,21,18,0,24,13,21,14,26,0,29,14,7,31,24,16,7,7,1,22
24,0,15,22,17,19,0,14,21,0,20,0,7,0,0,16,18,0,17,7,14,21
25,28,28,18,10,0,0,13,18,24,18,0,26,0,14,21,13,18,18,13,0,19
26,0,0,0,0,0,27,19,27,23,10,0,15,19,13,10,15,0,17,17,0,11
27,8,17,22,12,7,15,0,12,14,20,28,25,14,16,25,16,27,11,0,22,18
28,0,10,0,27,26,18,18,10,27,27,1,22,22,0,16,0,25,18,0,21,6
29,22,15,7,16,0,25,14,26,18,18,0,18,16,21,0,18,16,15,0,11,22
30,0,0,0,13,0,7,18,0,14,18,7,12,0,13,14,0,9,0,13,0,8
