,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0,75,0,0,0,0,42,91,23,52,0,0,83,23,0,79,0,0,0,0,0,56,0,0,0,0,0,0,0,120
2,0,0,0,29,0,0,0,0,51,0,52,0,0,0,0,40,0,0,42,50,0,0,0,0,52,0,0,42,0,0
3,0,0,0,23,50,0,20,26,0,72,0,0,0,0,0,0,0,0,0,0,9,47,49,0,87,27,29,0,0,0
4,23,45,0,71,48,40,0,51,0,0,0,0,0,0,23,0,0,0,0,0,3,0,0,0,0,0,0,9,0,26
5,0,29,0,0,41,43,0,29,0,0,0,0,29,23,35,21,29,0,0,0,0,7,0,0,0,0,23,23,16,18
6,42,0,0,0,1,29,0,0,74,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,42,0,18
7,0,56,23,0,0,0,0,3,49,42,42,46,0,0,0,0,7,0,50,0,0,0,0,48,0,0,42,41,20,30
8,0,0,0,44,23,0,29,23,0,0,29,0,0,0,0,0,0,57,40,15,42,0,0,0,0,0,40,23,0,2
9,50,0,0,64,23,0,0,0,69,23,23,70,0,0,0,0,0,0,23,47,23,42,0,23,0,0,0,23,23,31
10,23,0,0,0,0,0,9,0,0,42,50,0,0,0,0,0,0,60,23,0,0,0,0,0,51,23,52,0,0,7
11,0,0,0,23,0,0,0,0,0,50,0,0,0,0,0,3,0,0,0,0,9,0,0,40,0,0,0,45,0,12
12,63,23,0,0,0,0,0,0,45,0,23,23,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,2
13,0,0,0,0,0,0,42,0,0,0,0,0,0,0,45,49,0,47,47,0,0,3,0,0,0,40,49,0,23,40
14,0,0,23,0,3,0,0,0,0,52,0,51,0,0,23,0,0,42,0,0,42,58,23,23,0,0,0,0,42,68
15,23,23,0,50,40,23,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,0,20
16,0,0,0,0,0,0,0,0,42,0,0,23,0,0,0,0,0,0,0,3,51,0,0,41,0,56,52,0,0,2
17,0,46,74,70,0,0,0,0,0,23,0,56,79,52,40,52,23,0,40,0,52,0,0,13,18,42,0,23,0,2
18,43,0,70,0,0,0,0,0,0,0,0,0,42,0,45,51,0,23,23,0,42,0,0,0,0,0,0,0,41,23
19,42,0,52,57,0,0,0,0,0,42,0,0,0,23,0,0,0,0,0,0,0,23,48,0,0,23,0,29,0,7
20,0,54,42,42,46,42,42,23,0,3,0,0,23,42,0,0,0,49,0,0,1,23,0,75,0,42,0,0,42,11
21,23,0,0,7,0,56,20,42,0,42,45,0,0,56,0,23,42,46,0,0,0,0,0,23,42,70,29,0,0,0
22,23,0,54,41,0,0,0,0,0,0,0,0,42,0,0,3,46,0,23,0,0,0,9,23,0,0,0,0,0,21
23,23,0,0,0,0,42,47,0,0,3,0,0,0,00,59,50,0,0,45,56,0,79,56,54,0,23,29,0,54,5
24,0,41,45,0,0,0,0,0,0,0,42,0,0,0,43,0,0,0,0,0,0,0,49,28,23,0,0,0,16,16
25,23,23,46,23,42,0,0,71,0,0,0,23,48,50,0,30,23,0,0,0,0,52,0,0,3,42,0,0,49,62
26,0,0,0,23,0,23,35,23,0,0,23,0,0,0,0,0,42,0,0,0,0,41,44,0,0,0,1,0,0,0
27,0,0,29,0,0,29,48,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,51,0,0,3
28,48,23,49,0,42,56,46,0,0,0,0,0,23,23,0,0,56,0,42,0,52,0,0,0,0,0,0,0,0,72
29,49,42,42,0,42,40,23,52,0,0,44,0,0,56,23,42,0,46,46,34,29,48,41,54,48,23,0,0,0,36
30,23,0,0,0,0,0,20,23,23,0,0,0,0,0,3,0,44,0,0,23,0,0,54,23,23,0,0,23,18,15
