,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,15,6,5,19,11,6,13,20,11,12,11,5,10,16,16,5,12,9,15,6,12
2,3,9,1,4,10,5,12,11,9,7,18,18,15,8,13,12,10,13,5,14,5
3,6,16,16,4,15,15,10,10,6,5,3,1,14,15,8,17,11,15,10,13,11
4,12,10,3,5,4,11,9,5,6,10,6,10,10,0,2,11,4,1,9,1,0
5,6,7,5,5,1,4,0,8,8,10,4,9,9,5,4,4,9,11,1,4,5
6,17,12,12,12,11,5,9,0,11,9,6,12,10,17,15,14,9,15,2,9,3
7,2,14,1,19,10,10,3,4,4,12,18,12,0,5,0,10,13,7,20,3,16
8,3,11,4,9,3,12,2,1,0,9,12,6,11,10,9,6,9,8,12,12,2
9,19,3,3,1,15,3,17,15,12,4,17,13,9,0,12,12,6,12,0,2,9
10,1,5,9,5,8,8,6,3,9,3,6,9,2,5,2,0,7,3,10,10,10
11,16,13,14,6,2,0,7,8,0,7,7,1,5,9,16,7,16,7,8,15,11
12,4,7,3,9,3,9,3,10,4,4,8,9,3,4,3,3,0,7,5,7,4
13,6,4,9,5,0,10,9,4,10,9,5,9,10,4,0,6,8,6,7,8,11
14,5,1,17,4,0,12,19,0,14,4,4,19,11,8,12,9,13,19,11,4,13
15,24,12,0,20,7,17,2,10,2,3,7,4,2,12,22,5,11,13,6,6,20
16,8,15,18,17,18,16,4,1,3,11,10,4,12,5,14,7,12,13,9,3,10
17,5,7,5,12,3,1,3,5,7,10,11,8,2,10,11,9,14,9,9,11,2
18,1,10,3,8,9,9,4,5,4,12,6,9,2,4,11,0,3,9,0,0,9
19,10,17,17,6,14,2,4,15,3,9,14,16,8,0,3,8,9,10,7,2,4
20,6,20,14,8,22,8,5,18,9,5,12,1,14,3,0,2,3,0,4,19,12
21,15,3,12,2,10,7,4,15,17,2,17,2,11,11,4,16,3,8,5,7,17
22,12,7,3,6,0,11,12,6,6,0,10,12,2,2,1,9,0,6,12,2,8
23,8,0,16,6,2,7,4,14,9,6,16,16,5,8,3,14,5,15,9,13,13
24,13,6,2,17,17,7,8,16,16,2,13,1,0,2,16,14,10,8,13,10,14
25,1,6,11,7,7,9,0,9,4,8,6,9,5,8,8,11,9,4,7,1,7
26,9,15,11,9,7,6,10,3,0,10,9,10,3,12,5,12,5,11,3,6,10
27,7,1,12,11,11,3,15,6,18,1,1,2,0,17,4,16,0,13,7,16,17
28,13,8,0,23,0,13,10,5,19,10,6,3,13,2,14,4,6,23,1,17,23
29,9,6,11,9,5,6,14,7,3,1,8,10,5,0,4,1,5,3,13,11,13
30,16,8,16,13,3,11,16,5,10,17,8,16,8,0,11,14,9,6,16,14,15
