,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1,43,4,5,2,19,30,51,55,10,29,6,40,16,28,23,6,59,41,24,15
2,43,38,40,33,1,27,12,16,12,25,38,33,14,16,5,11,17,27,33,40,3
3,20,67,2,67,72,33,71,58,7,12,25,7,66,51,13,27,5,37,60,9,7
4,28,26,37,23,11,0,30,18,35,32,8,23,13,1,21,12,14,11,31,30,39
5,16,45,9,5,48,50,41,53,21,58,57,19,57,8,47,44,30,3,56,30,63
6,28,37,7,28,20,4,26,34,13,27,33,27,15,25,15,9,31,17,18,32,11
7,11,15,5,47,35,15,36,21,17,23,37,48,17,8,36,26,0,7,16,48,8
8,51,39,0,55,17,35,17,8,55,32,24,36,45,42,48,22,6,30,26,43,29
9,30,47,36,41,23,36,18,23,52,48,43,27,45,31,1,19,34,0,32,33,12
10,12,22,29,7,28,20,19,23,8,5,12,17,14,30,11,19,21,19,25,28,23
11,81,42,68,45,35,80,19,80,11,42,14,18,39,29,11,69,1,8,75,4,1
12,37,16,33,9,32,23,43,54,43,55,25,20,57,9,6,36,61,37,49,19,51
13,37,15,30,23,44,5,19,49,9,46,23,10,40,26,41,42,49,49,48,48,49
14,15,9,47,29,49,1,22,38,33,26,26,42,42,36,35,38,8,2,6,5,23
15,23,2,29,6,33,36,3,22,25,28,28,18,23,11,18,17,18,22,34,3,14
16,8,21,7,18,36,16,42,29,40,0,22,34,12,31,3,25,24,23,2,16,19
17,52,38,50,32,14,47,27,9,42,4,15,20,7,0,49,32,9,19,10,46,5
18,25,53,47,24,52,61,29,32,59,22,38,32,49,47,1,30,42,3,4,58,32
19,0,28,62,1,60,76,71,12,2,54,19,46,3,74,31,73,23,12,8,39,56
20,38,32,9,33,31,30,25,44,48,43,37,27,42,30,46,25,40,15,37,17,40
21,46,51,4,49,25,43,24,46,16,52,18,25,7,30,23,15,20,1,35,18,15
22,11,19,35,15,21,17,34,4,27,0,45,22,1,32,46,12,27,45,28,24,12
23,16,14,23,27,30,16,27,26,14,4,13,4,29,8,7,7,28,26,31,13,18
24,16,27,32,6,0,40,10,31,23,34,7,26,15,16,41,11,28,18,23,35,38
25,17,19,8,57,21,50,2,0,51,61,19,53,55,42,10,20,54,51,3,38,27
26,5,49,19,35,18,37,33,34,6,23,11,23,18,32,11,25,49,1,5,34,20
27,38,38,63,32,10,52,71,0,62,4,17,45,10,55,36,52,50,26,3,29,42
28,0,30,42,42,9,25,15,24,17,25,2,30,14,8,22,38,27,20,32,7,44
29,65,44,29,67,38,21,60,6,57,50,19,34,0,55,34,19,9,35,63,36,28
30,4,9,25,46,11,26,10,42,39,25,1,42,0,26,34,21,35,24,45,27,21
